Papyri.info URL	Main identifier	Other identifiers	Title	Location	Date	Languages	Image URL	Direct image URLs	Filesystem identifier
https://papyri.info/ddbdp/rom.mil.rec;1;101	rom.mil.rec 1 101	ChLA 6 316,P.CtYBR inv. DP 18 qua,yale 4400180000	Lettre officielle concernant les «frumentations»	Dura - Europos	216 CE	la, la	http://hdl.handle.net/10079/digcoll/2771547	https://imageserver.library.yale.edu/digcoll:2772686/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772689/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772693/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772835/a/b/15000.jpg	rom.mil.rec_1_101
https://papyri.info/ddbdp/rom.mil.rec;1;103	rom.mil.rec 1 103	P.Dura 57,P.CtYBR inv. DP 32,yale 4400320000	Fragment of Letters	Dura - Europos	208 CE	la, la	http://hdl.handle.net/10079/digcoll/2771672	https://imageserver.library.yale.edu/digcoll:2772771/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772775/a/b/15000.jpg	rom.mil.rec_1_103
https://papyri.info/ddbdp/rom.mil.rec;1;104	rom.mil.rec 1 104	P.Dura 70,P.CtYBR inv. DP 68,yale 4400680000	Fragment of Letter	Dura - Europos	213 CE	la, la	http://hdl.handle.net/10079/digcoll/2771767	https://imageserver.library.yale.edu/digcoll:2773958/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773957/a/b/15000.jpg	rom.mil.rec_1_104
https://papyri.info/ddbdp/rom.mil.rec;1;105	rom.mil.rec 1 105	P.Dura 71,P.CtYBR inv. DP 47,yale 4400470000	Fragment of Letter	Dura - Europos	219 CE	la, la	http://hdl.handle.net/10079/digcoll/2771680	https://imageserver.library.yale.edu/digcoll:2772904/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773896/a/b/15000.jpg	rom.mil.rec_1_105
https://papyri.info/ddbdp/rom.mil.rec;1;106	rom.mil.rec 1 106	P.Dura 73,P.CtYBR inv. DP 42,yale 4400420000	Fragment of Letters	Dura - Europos	210 CE - 220 CE	la, la	http://hdl.handle.net/10079/digcoll/2771671	https://imageserver.library.yale.edu/digcoll:2772779/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772782/a/b/15000.jpg	rom.mil.rec_1_106
https://papyri.info/ddbdp/rom.mil.rec;1;107	rom.mil.rec 1 107	P.Dura 75,P.CtYBR inv. DP 28 qua,yale 4400280000	Fragments of Letters	Dura - Europos	210 CE - 220 CE	la, la	http://hdl.handle.net/10079/digcoll/2771444	https://imageserver.library.yale.edu/digcoll:2772851/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772721/a/b/15000.jpg	rom.mil.rec_1_107
https://papyri.info/ddbdp/rom.mil.rec;1;108	rom.mil.rec 1 108	P.Dura 62,P.CtYBR inv. DP 33,yale 4400330000	Fragmentary Letter	Dura - Europos	216 CE - 220 CE	la, la	http://hdl.handle.net/10079/digcoll/2771447	https://imageserver.library.yale.edu/digcoll:2772873/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772746/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772750/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773886/a/b/15000.jpg	rom.mil.rec_1_108
https://papyri.info/ddbdp/rom.mil.rec;1;109	rom.mil.rec 1 109	P.Dura 65,P.CtYBR inv. DP 23,yale 4400230000	Fragment of Letter	Dura - Europos	221 CE	la, la	http://hdl.handle.net/10079/digcoll/2771438	https://imageserver.library.yale.edu/digcoll:2772718/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773865/a/b/15000.jpg	rom.mil.rec_1_109
https://papyri.info/ddbdp/rom.mil.rec;1;110	rom.mil.rec 1 110	P.Dura 72,P.CtYBR inv. DP 43,yale 4400430000	Fragment of Letter	Dura - Europos	211 CE - 222 CE	la, la	http://hdl.handle.net/10079/digcoll/2771685	https://imageserver.library.yale.edu/digcoll:2772909/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772906/a/b/15000.jpg	rom.mil.rec_1_110
https://papyri.info/ddbdp/rom.mil.rec;1;111	rom.mil.rec 1 111	P.Dura 78,P.CtYBR inv. DP 45,yale 4400450000	Fragment of Letter	Dura - Europos	210 CE - 230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771443	https://imageserver.library.yale.edu/digcoll:2773887/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772879/a/b/15000.jpg	rom.mil.rec_1_111
